#,WORD,WORD TYPE,DERIVATIVES,DEFINITION,THESAURUS,SAMPLE SENTENCE
164,Indefatigable,"['Adjective']","{'Indefatigability':'(noun)','Indefatigably':'(adverb)'}","Untiring","{'':['Tireless','Unflagging','Dogged','Tenacious','Resolute','Relentless']}","She is an ``indefatigable` hiker and can walk all day."
165,Indisputable,"['Adjective']",None,"Not able to be challenged","{'':['Incontrovertible','Irrefutable','Unquestionable','Unequivocal','Certain','Clear']}","Davey is the ``indisputable` star of the basketball team."
166,Ineffective,"['Adjective']",None,"Not producing any major impact","{'An ineffective scheme':['Futile','Inadequate'],'An ineffective president':['Incompetent','Incapable']}","The drug was shown to be ``ineffective` at curing cancer."
167,Inevitable,"['Adjective']","{'Inevitability':'(noun)','Inevitably':'(adverb)'}","Unable to be avoided","{'':['Inescapable','Assured','Certain']}","Even if you're healthy, death is ``inevitable` in the end."
168,Infer,"['Verb']","{'Inferable':'(adjective)'}","To guess based on evidence","{'':['Deduce','Conclude','Reason','Extrapolate']}","I ``inferred` that she was annoyed based on her body language."
169,Inflate,"['Verb']","{'Inflator':'(noun)'}","To increase in size","{'Infalte the ball':['Blow up','Fill up'],'The demand inflated prices':['Raise','Boost','Escalate'],'The numbers were inflated by the media':['Exaggerate','Amplify']}","Getting a girlfriend has really ``inflated` his ego."
170,Influence,"['Noun']","{'Influenceable':'(adjective)','Influencer':'(noun)','have an influence on':'(verb)'}","The ability to have an impact of something","{'':['Effect','Sway','Weight','Pull']}","My 11-year old nephew has been a positive ``influence` on his younger brother."
171,Inhibit,"['Verb']","{'Inhibitive':'(adjective)','Inhabitory':'(adjective)'}","To hinder or restrain","{'':['Impede','Hamper','Hold back','Curb','Suppress']}","The cleaning spray ``inhibits` the growth of bacteria."
172,Initial,"['Adjective]","{'Initialed':'(verb)','Initialing':'(verb)','Initials':'(noun) - the first letters of a name or a word'}","The first.\nExisting or occurring at the beginning","{'':['Beginning','Opening','Commencing','Initialize','Sign']}","Obama was the ``initial` black president of the US."
173,Inquiry,"['Noun]",None,"An investigation to determine the truth","{'':['Question','Query','Probe','Examination']}","Congress launched an ``inquiry` after President Clinton was accused of having relations with Monika Lewinski."
174,Integral,"['Adjective']","{'Integrality':'(noun)','Integrally':'(adverb)'}","Necessary to complete the whole","{'':['Essential','Fundamental','Basic','Vital','Necessary']}","You can't quit the team since you are an ``integral` part of the unit."
175,Integrate,"['Verb']","{'Integrability':'(noun)','Integrable':'(adjective)'}","To combine","{'':['Merge','Unit','Fuse','Blend','Amalgamate']}","When making a cake, you need to fully ``integrate` the wet and dry ingredients."
176,Interpret,"['Verb']","{'Interpretability':'(noun)','Interpretable':'(adjective)'}","To explain the meaning of something","{'':['Expound','Explicate','Clarify','Decipher','Decode']}","I need you to ``interpret` the Chinese menu for Joe."
